#Returns a data frame with the initial values (I), theta estimates (T)
#Log likelihoods (L), sigma (S), and alpha (A)

$bobyqa
             I        T        L          S          A
V18 0.34759184 4.241044  9.841744e+00 0.49719397  3.03554401
V19 0.36797959 4.241044  9.841744e+00 0.49719404  3.03554463
V20 0.38836735 4.241044  9.841744e+00 0.49719378  3.03554301
V21 0.40875510 4.241044  9.841744e+00 0.49719383  3.03554329
V22 0.42914286 4.241044  9.841744e+00 0.49719480  3.03554965
V23 0.44953061 4.241044  9.841744e+00 0.49719408  3.03554491
V24 0.46991837 4.241044  9.841744e+00 0.49719441  3.03554699
V25 0.49030612 4.241044  9.841744e+00 0.49719385  3.03554344
V26 0.51069388 4.241044  9.841744e+00 0.49719406  3.03554479
V27 0.53108163 4.241044  9.841744e+00 0.49719540  3.03555364
V28 0.55146939 4.241044  9.841744e+00 0.49719369  3.03554241
V29 0.57185714 4.241044  9.841744e+00 0.49719387  3.03554361
V30 0.59224490 4.241044  9.841744e+00 0.49719441  3.03554710
V31 0.61263265 4.241044  9.841744e+00 0.49719381  3.03554314
V32 0.63302041 4.241044  9.841744e+00 0.49719379  3.03554298
V33 0.65340816 4.241044  9.841744e+00 0.49719375  3.03554270
V34 0.67379592 4.241044  9.841744e+00 0.49719371  3.03554253
V35 0.69418367 4.241044  9.841744e+00 0.49719419  3.03554563
V36 0.71457143 4.241044  9.841744e+00 0.49719383  3.03554309
V37 0.73495918 4.241044  9.841744e+00 0.49719410  3.03554509
V38 0.75534694 4.241044  9.841744e+00 0.49719422  3.03554581
V39 0.77573469 4.241044  9.841744e+00 0.49719389  3.03554362
V40 0.79612245 4.241044  9.841744e+00 0.49719391  3.03554386
V41 0.81651020 4.241044  9.841744e+00 0.49719385  3.03554346
V42 0.83689796 4.241044  9.841744e+00 0.49719379  3.03554303
V43 0.85728571 4.241044  9.841744e+00 0.49719392  3.03554388
V44 0.87767347 4.241044  9.841744e+00 0.49719376  3.03554288
V45 0.89806122 4.241044  9.841744e+00 0.49719384  3.03554339
V46 0.91844898 4.241044  9.841744e+00 0.49719395  3.03554409
V47 0.93883673 4.241044  9.841744e+00 0.49719393  3.03554392
V48 0.95922449 4.241044  9.841744e+00 0.49719376  3.03554284
V49 0.97961224 4.241044  9.841744e+00 0.49719387  3.03554357
V50 1.00000000 4.241044  9.841744e+00 0.49719386  3.03554352

$spg
             I        T        L         S        A
V1  0.00100000 4.241045 9.841744 0.4971559 3.035293
V2  0.02138776 4.241046 9.841744 0.4970786 3.034783
V3  0.04177551 4.241045 9.841744 0.4971693 3.035382
V4  0.06216327 4.241045 9.841744 0.4971237 3.035080
V5  0.08255102 4.241045 9.841744 0.4971554 3.035289
V6  0.10293878 4.241045 9.841744 0.4970971 3.034904
V7  0.12332653 4.241045 9.841744 0.4971600 3.035320
V8  0.14371429 4.241046 9.841744 0.4970783 3.034780
V9  0.16410204 4.241045 9.841744 0.4971933 3.035540
V10 0.18448980 4.241046 9.841744 0.4970757 3.034763
V11 0.20487755 4.241043 9.841744 0.4973080 3.036298
V12 0.22526531 4.241045 9.841744 0.4970973 3.034906
V13 0.24565306 4.241046 9.841744 0.4970711 3.034733
V14 0.26604082 4.241044 9.841744 0.4971939 3.035544
V15 0.28642857 4.241046 9.841744 0.4970498 3.034592
V16 0.30681633 4.241044 9.841744 0.4972240 3.035743
V17 0.32720408 4.241046 9.841744 0.4970896 3.034855
V18 0.34759184 4.241045 9.841744 0.4971467 3.035232
V19 0.36797959 4.241045 9.841744 0.4971304 3.035125
V20 0.38836735 4.241045 9.841744 0.4970978 3.034909
V21 0.40875510 4.241045 9.841744 0.4970966 3.034901
V22 0.42914286 4.241045 9.841744 0.4971889 3.035511
V23 0.44953061 4.241046 9.841744 0.4970394 3.034524
V24 0.46991837 4.241046 9.841744 0.4970715 3.034736
V25 0.49030612 4.241045 9.841744 0.4971835 3.035475
V26 0.51069388 4.241045 9.841744 0.4970991 3.034918
V27 0.53108163 4.241045 9.841744 0.4971156 3.035027
V28 0.55146939 4.241045 9.841744 0.4971338 3.035147
V29 0.57185714 4.241044 9.841744 0.4972400 3.035848
V30 0.59224490 4.241044 9.841744 0.4972516 3.035925
V31 0.61263265 4.241046 9.841744 0.4970855 3.034828
V32 0.63302041 4.241045 9.841744 0.4971852 3.035487
V33 0.65340816 4.241046 9.841744 0.4970593 3.034655
V34 0.67379592 4.241045 9.841744 0.4971563 3.035295
V35 0.69418367 4.241045 9.841744 0.4971668 3.035365
V36 0.71457143 4.241045 9.841744 0.4971934 3.035541
V37 0.73495918 4.241045 9.841744 0.4971894 3.035514
V38 0.75534694 4.241045 9.841744 0.4971918 3.035530
V39 0.77573469 4.241045 9.841744 0.4971499 3.035253
V40 0.79612245 4.241045 9.841744 0.4970922 3.034873
V41 0.81651020 4.241045 9.841744 0.4971562 3.035295
V42 0.83689796 4.241046 9.841744 0.4970542 3.034621
V43 0.85728571 4.241045 9.841744 0.4971530 3.035274
V44 0.87767347 4.241044 9.841744 0.4971954 3.035554
V45 0.89806122 4.241044 9.841744 0.4972206 3.035721
V46 0.91844898 4.241046 9.841744 0.4970658 3.034698
V47 0.93883673 4.241046 9.841744 0.4970870 3.034838
V48 0.95922449 4.241045 9.841744 0.4971451 3.035222
V49 0.97961224 4.241045 9.841744 0.4971324 3.035138
V50 1.00000000 4.241045 9.841744 0.4971288 3.035114
