"","X..3"
"Rupicapra_rupicapra",2
"Saccostomus_campestris",0
"Saguinus_fuscicollis",2
"Saguinus_geoffroyi",1
"Saguinus_labiatus",2
"Saguinus_midas",2
"Saguinus_mystax",2
"Saguinus_nigricollis",2
"Saguinus_oedipus",2
"Saiga_tatarica",2
"Saimiri_sciureus",2
"Scalopus_aquaticus",1
"Scapanus_orarius",0
"Scapanus_townsendii",0
"Sciurus_carolinensis",2
"Sciurus_granatensis",2
"Sciurus_griseus",2
"Sciurus_niger",2
"Sciurus_vulgaris",2
"Scotinomys_teguina",0
"Scotinomys_xerampelinus",0
"Semnopithecus_entellus",2
"Setifer_setosus",0
"Sicista_betulina",1
"Sigmodon_hispidus",0
"Sigmodon_ochrognathus",0
"Solenodon_paradoxus",2
"Sorex_araneus",0
"Sorex_cinereus",0
"Sorex_coronatus",0
"Sorex_haydeni",0
"Sorex_longirostris",0
"Sorex_minutus",0
"Sorex_monticolus",0
"Sorex_vagrans",0
"Speothos_venaticus",2
"Spermophilus_armatus",0
"Spermophilus_beecheyi",1
"Spermophilus_beldingi",0
"Spermophilus_citellus",1
"Spermophilus_columbianus",0
"Spermophilus_elegans",1
"Spermophilus_franklinii",1
"Spermophilus_lateralis",1
"Spermophilus_mexicanus",2
"Spermophilus_mohavensis",1
"Spermophilus_mollis",1
"Spermophilus_richardsonii",1
"Spermophilus_saturatus",1
"Spermophilus_suslicus",1
"Spermophilus_tereticaudus",1
"Spermophilus_townsendii",0
"Spermophilus_tridecemlineatus",1
"Spermophilus_variegatus",1
"Spermophilus_washingtoni",0
"Spilogale_putorius",1
"Stenella_attenuata",2
"Stenella_coeruleoalba",2
"Stenella_longirostris",2
"Suncus_etruscus",0
"Suncus_murinus",0
"Suricata_suricatta",1
"Sus_scrofa",2
"Sylvilagus_aquaticus",0
"Sylvilagus_audubonii",0
"Sylvilagus_bachmani",0
"Sylvilagus_brasiliensis",0
"Sylvilagus_floridanus",0
"Sylvilagus_nuttallii",1
"Sylvilagus_transitionalis",0
"Synaptomys_cooperi",0
"Syncerus_caffer",2
"Tachyoryctes_splendens",1
"Talpa_altaica",1
"Talpa_europaea",1
"Tamias_amoenus",1
"Tamias_cinereicollis",1
"Tamias_minimus",1
"Tamias_palmeri",1
"Tamias_panamintinus",1
"Tamias_sibiricus",1
"Tamias_sonomae",0
"Tamias_striatus",1
"Tamias_townsendii",1
"Tamiasciurus_hudsonicus",2
"Tapirus_indicus",2
"Tapirus_terrestris",2
"Tarsius_bancanus",2
"Tarsius_spectrum",2
"Tarsius_syrichta",2
"Tatera_brantsii",0
"Tatera_inclusa",0
"Tatera_indica",0
"Tatera_leucogaster",0
"Taterillus_pygargus",0
"Taurotragus_oryx",2
"Taxidea_taxus",1
"Tayassu_pecari",1
"Tenrec_ecaudatus",1
"Thallomys_paedulcus",0
"Thamnomys_venustus",0
"Theropithecus_gelada",2
"Thomomys_bulbivorus",1
"Thomomys_talpoides",1
"Thrichomys_apereoides",1
"Thryonomys_swinderianus",0
"Tolypeutes_matacus",1
"Trachypithecus_cristatus",2
"Trachypithecus_francoisi",2
"Trachypithecus_obscurus",2
"Trachypithecus_phayrei",2
"Trachypithecus_vetulus",2
"Tragelaphus_angasii",2
"Tragelaphus_strepsiceros",2
"Tragulus_javanicus",2
"Tragulus_napu",2
"Tremarctos_ornatus",2
"Trichechus_inunguis",2
"Trichechus_manatus",2
"Trogopterus_xanthipes",2
"Tupaia_belangeri",1
"Tupaia_glis",1
"Tupaia_tana",1
"Tursiops_truncatus",2
"Tylomys_nudicaudus",0
"Uncia_uncia",2
"Urocyon_cinereoargenteus",1
"Urocyon_littoralis",2
"Urogale_everetti",1
"Urotrichus_talpoides",0
"Ursus_americanus",2
"Ursus_arctos",2
"Ursus_maritimus",2
"Ursus_thibetanus",2
"Varecia_variegata",2
"Vicugna_vicugna",2
"Viverra_zibetha",0
"Viverricula_indica",2
"Vormela_peregusna",0
"Vulpes_cana",1
"Vulpes_corsac",0
"Vulpes_velox",1
"Vulpes_vulpes",1
"Vulpes_zerda",2
"Xerus_erythropus",1
"Xerus_inauris",1
"Zaedyus_pichiy",1
"Zalophus_californianus",2
"Zapus_hudsonius",0
"Zapus_princeps",0
"Zapus_trinotatus",0
"Zygodontomys_brevicauda",0
"Zyzomys_argurus",1
"Zyzomys_woodwardi",1
